id,user_id,title,created_at
1,5,"My Favorite Movies","2023-11-24 08:56:05"
2,3,"Best Restaurants","2023-11-22 19:53:18"
3,5,"Travel Bucket List","2023-04-21 01:35:31"
4,3,"Weekend Getaways","2023-04-05 18:20:29"
5,3,"Must-Watch TV Shows","2023-03-04 01:00:21"
6,9,"Hidden Gems","2023-02-13 21:32:55"
7,1,"Cozy Cafes","2023-01-19 01:23:26"
8,10,"Summer Reading List","2023-11-10 15:32:15"
9,4,"Hiking Trails","2024-03-11 02:56:53"
10,8,"Date Night Spots","2023-12-16 16:12:48"
11,8,"Best Podcasts","2023-06-03 00:17:39"
12,1,"Tech Gadgets","2023-07-19 07:11:11"
13,4,"Favorite Albums","2023-06-24 13:07:57"
14,4,"Fitness Resources","2023-03-10 13:28:24"
15,6,"Cooking Inspiration","2023-08-30 15:28:43"
