id,user_id,title,caption,category,created_at
1,1,The Social Dilemma,A thought-provoking documentary.,movie,2023-05-01 12:10:15
2,1,Breaking Bad,Gripping and intense.,tvshow,2023-05-02 14:15:15
3,2,"Thinking, Fast and Slow",A dive into human psychology.,read,2023-05-03 15:10:15
4,2,Joe Rogan Experience,Diverse and engaging.,podcast,2023-05-04 12:10:15
5,3,Inception,A cinematic masterpiece.,movie,2023-05-05 11:10:15
6,3,"The Louvre, Paris",An art haven.,go,2023-05-06 14:10:15
7,4,Shape of You by Ed Sheeran,Timeless tune.,song,2023-05-07 13:10:15
8,4,Reputation by Taylor Swift,Dark and catchy.,album,2023-05-08 14:10:15
9,5,Latte at Coffee House,Perfect morning brew.,drink,2023-05-09 11:10:15
10,5,Science Vs,Debunking popular myths.,podcast,2023-05-10 14:10:15
11,6,"Central Park, NYC",Nature amidst urban sprawl.,go,2023-05-11 12:10:15
12,6,The Crown,Historical and dramatic.,tvshow,2023-05-12 15:10:15
13,7,Blinding Lights by The Weeknd,Electrifying.,song,2023-05-13 11:10:15
14,7,25 by Adele,Soulful journey.,album,2023-05-14 14:10:15
15,8,Mojito at The Bar,Refreshing.,drink,2023-05-15 16:10:15
16,8,Dune by Frank Herbert,Sci-fi at its best.,read,2023-05-16 14:10:15
17,9,Game of Thrones,Epic and thrilling.,tvshow,2023-05-17 15:10:15
18,9,The Beatles,Legends of music.,artist,2023-05-18 16:10:15
19,10,Pizza at Mario’s,Cheesy goodness.,eat,2023-05-19 12:10:15
20,10,Chateau Wine,Rich and smooth.,drink,2023-05-20 11:10:15
21,1,TED Radio Hour,Ideas worth spreading.,podcast,2023-05-21 14:10:15
22,2,Mount Everest,A challenging ascent.,go,2023-05-22 15:10:15
23,3,Rolling Stones,Rock n Roll legends.,artist,2023-05-23 13:10:15
24,4,End Game by Taylor Swift,Pop perfection.,song,2023-05-24 14:10:15
25,5,Tacos at El Amigo,Taste of Mexico.,eat,2023-05-25 12:10:15
26,6,Brief History of Time,Dive into the universe.,read,2023-05-26 13:10:15
27,7,Grand Canyon,Nature’s wonder.,go,2023-05-27 11:10:15
28,8,A Star is Born,Musical masterpiece.,movie,2023-05-28 10:10:15
29,9,Black Coffee,Kickstart your day.,drink,2023-05-29 15:10:15
30,10,Arctic Monkeys,Modern rock at its best.,artist,2023-05-30 14:10:15
